,,,,,
2. Population totale par âge et sexe,  Population totale : 40-59 ans, ELP : Estimation localisée de population,http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341,,
2. Population totale par âge et sexe,  Population totale : moins de 20 ans, ELP : Estimation localisée de population,http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341,,
2. Population totale par âge et sexe,  Population totale : 75 ans et plus, ELP : Estimation localisée de population,http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341,,
2. Population totale par âge et sexe,  Population totale : 20-39 ans, ELP : Estimation localisée de population,http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341,,
2. Population totale par âge et sexe,  Population totale : 60-74 ans, ELP : Estimation localisée de population,http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341,,
,,,,,
,,,,,
,2015,2015,2015,2015,2015
,Pop. totale : 40-59 ans,Pop. totale : 0-19 ans,Pop. totale : 75 ans et +,Pop. totale : 20-39 ans,Pop. totale : 60-74 ans
,ELP : Estimation localisée de population,ELP : Estimation localisée de population,ELP : Estimation localisée de population,ELP : Estimation localisée de population,ELP : Estimation localisée de population
D70 Haute-Saône,66741p,55918p,24166p,49030p,42326p
D71 Saône-et-Loire,152252p,122934p,67505p,109304p,103845p
D72 Sarthe,152450p,143831p,59895p,124007p,91952p
D73 Savoie,119897p,102194p,39402p,99652p,68108p
D74 Haute-Savoie,220273p,197088p,58236p,204211p,111286p
D75 Paris,561382p,437754p,168108p,750131p,301161p
D76 Seine-Maritime,332802p,312649p,112920p,302169p,195047p
D77 Seine-et-Marne,384187p,389967p,84600p,357045p,175630p
D78 Yvelines,391803p,384986p,102891p,352397p,192334p
D79 Deux-Sèvres,103350p,87233p,42720p,75892p,63391p
D80 Somme,151996p,141842p,50985p,137369p,89403p
D81 Tarn,105286p,87068p,48706p,76029p,68915p
D82 Tarn-et-Garonne,69472p,62102p,27683p,53827p,42582p
D83 Var,276800p,223657p,123227p,217554p,200443p
D84 Vaucluse,150267p,134111p,54132p,121003p,95106p
D85 Vendée,176573p,160195p,72248p,138702p,120252p
D86 Vienne,112964p,102389p,46492p,101325p,70512p
D87 Haute-Vienne,99962p,81946p,44606p,81848p,67001p
D88 Vosges,103726p,84755p,40570p,76722p,66019p
D89 Yonne,92374p,79828p,38325p,68375p,61982p
D90 Territoire de Belfort,38114p,36390p,12678p,36363p,21529p
D91 Essonne,343561p,352512p,86165p,334602p,163024p
D92 Hauts-de-Seine,425415p,407762p,116013p,462740p,191449p
D93 Seine-Saint-Denis,402133p,458168p,84164p,458967p,170527p
D94 Val-de-Marne,364305p,355611p,96012p,387795p,168295p
D95 Val-d'Oise,320774p,346597p,70768p,327166p,145013p
D9A Guadeloupe,122286,107664,29506,79517,395146
D9B Martinique,118701,91829,33238,73142,370212
D9C Guyane,54196,107712,4459,72468,257705
D9D Réunion,235885,264117,35345,216142,849625
D9F Mayotte,32372,123592,2129,61493,228321
R11 Ile-de-France,3193560,3133357,808721,3430843,11884907
R21 Champagne-Ardenne,358478,323237,128176,311396,1300426
R22 Picardie,526383,499103,159781,456717,1895642
R23 Haute-Normandie,498336,469870,161462,437099,1812118
R24 Centre,693920,619140,272519,561988,2482119
R25 Basse-Normandie,396745,349147,162744,315085,1420036
R26 Bourgogne,441850,370905,186582,346597,1571967
R31 Nord-Pas-de-Calais,1063106,1086264,321351,1028438,3994987
R41 Lorraine,645666,543256,220074,558303,2272881
R42 Alsace,528370,448447,159325,464222,1839882
R43 Franche-Comté,315237,287398,112635,273706,1141549
R52 Pays de la Loire,977296,947767,357106,854548,3591769
R53 Bretagne,880645,791945,344885,731661,3163824
R54 Poitou-Charentes,486454,401307,210843,372786,1718638
R72 Aquitaine,920716,755472,360429,757009,3235774
R73 Midi-Pyrénées,807286,684040,320834,699695,2871682
R74 Limousin,198703,153421,96282,147130,691142
R82 Rhône-Alpes,1724764,1649182,561751,1614445,6323500
R83 Auvergne,374031,297490,156485,290009,1304640
R91 Languedoc-Roussillon,738828,643404,294285,619857,2681920
R93 Provence-Alpes-Côte d'Azur,1333119,1142994,527656,1131608,4777384
R94 Corse,91185,67159,34407,77130,313857
ROM Départements d'Outre-Mer,563440,694914,104677,502762,2101009
Légende,,,,,
p : Provisoire,,,,,
,,,,,
,,,,,
Eco-Santé France, Régions & Départements - Mise à jour : Avril 2016,http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA,,,
